Name,Location,State(s),Counties,Type,Length,Uses
Historic Salisbury,,North Carolina,,[],4.00 Miles / 6.44 Km,[]
Holland Falls,In Flathead NF,Montana,Missoula,['Backcountry'],1.50 Miles / 2.41 Km,"['Dogs - Off leash', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Honeysuckle Trail,"At T.O. Fuller SP, SW of  Memphis on SR 14.",Tennessee,,[],0.50 Miles / 0.80 Km,[]
Horse Ridge NRT,Six Rivers National Forest,California,Humboldt,['Backcountry'],15.30 Miles / 24.62 Km,"['Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Horseshoe Mountain,"at sound end of Lake Catherine State Park, 15 miles south of Hot Springs on State Route 7.",Arkansas,,['Backcountry'],3.50 Miles / 5.63 Km,"['Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Swimming', 'Wildlife Observation']"
House Creek Greenway,"Raleigh, In Raleigh at the North Carolina Museum of Art.<br/>",North Carolina,Wake,['Greenway'],3.20 Miles / 5.15 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
Hudson River Greenway Water Trail,"The Hudson River, from Town of Hadley, NY (in the Adirondack Park) to Battery Park in Manhattan; also the Champlain Canal from Whitehall, NY (the head of Lake Champlain) to its confluence with the Hudson River at Fort Edward, NY.",New York,14 counties from NYC to Lake Champlain,"['Water', 'Trail', 'National', 'Water', 'Trails', 'System']",256.00 Miles / 411.99 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting', 'Boating, non-motorized: Sailing', 'Camping', 'Fishing', 'Heritage and History', 'Swimming', 'Wildlife Observation']"
Hudson Valley Rail Trail,Connects to Walkway Over the Hudson on the west bank of the Hudson River in Highland New York,New York,Ulster,"['Rail', 'Trail']",3.60 Miles / 5.79 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Hugh S. Branyon Backcountry Trail,"Orange Beach, AL and Gulf State Park, Gulf Shores, AL, Trail system joins Gulf State Park to coastal forests from State Route 116 west to State Route 2.<br/>",Alabama,Baldwin,['Backcountry'],9.00 Miles / 14.48 Km,['Dogs - On leash']
Hunter,"Backcountry, At Picacho Peak State Park, south of Elroy.",Arizona,,[],3.50 Miles / 5.63 Km,"['Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Hyde Park Heritage Greenway Trail System,"The Hyde Park Heritage Greenway Trail System is a 10 mile plus trail system that includes trails on town, state and federal parklands that run along the Hudson River and nearby neighborhoods including the downtown area of the Town. <br/>",New York,Dutchess,"['Greenway', 'Urban', 'Trail']",10.00 Miles / 16.09 Km,"['Bicycling (off pavement)', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Icicle Creek Nature Trail,At Leavenworth National Fish Hatchery,Washington,Chelan,[],1.00 Miles / 1.61 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Ides Cove Loop,"Scenic/Natural, Corning.",California,Tehama,"['Backcountry', 'Equestrian', 'Trail']",10.70 Miles / 17.22 Km,"['Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Illinois River,"Siskiyou National Forest, Gold Beach Road, In Siskiyou National Forest, SE of Agness at Oak Flat trailhead.",Oregon,Curry,['Backcountry'],8.00 Miles / 12.87 Km,"['Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Fishing', 'Swimming', 'Swimming - Diving/snorkeling', 'Wildlife Observation']"
Independence Creek,"Fernan Ranger District,  In Coeur d’Alene NF SE of Lakeview.<br/>",Idaho,"Bonner, Kootenai, Shoshone",['Backcountry'],13.20 Miles / 21.24 Km,"['Camping', 'Camping', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Fishing', 'Motorized vehicles - Motorcycling']"
Inspiration Point,"Shawnee National Forest,  In Shawnee NF SW of Carbondale on Forest Rd. 236.",Illinois,Union,['Backcountry'],0.80 Miles / 1.29 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
International Forest of Friendship,SW of Atchison near Warnock Lake.,Kansas,Atchison,"['Nature', 'Trail']",0.60 Miles / 0.97 Km,['Pedestrian - Walking/Hiking/Running']
Island Line Trail,,Vermont,,[],12.00 Miles / 19.31 Km,[]
J.R. Alford Greenway,"Leon County, Florida, Trail system east of downtown Tallahassee, 2 miles east on Buck Lake Road, right on Pedrick Road.<br/>",Florida,Leon County,['Greenway'],27.00 Miles / 43.45 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Jackass Creek NRT,"Sequoia Nation Forest, Road 21501. In Coeur d’Alene National Forest, 5 trailheads near I-90, NE of Kellogg.",California,Tulare,['Backcountry'],6.30 Miles / 10.14 Km,"['Camping', 'Motorized vehicles - Motorcycling', 'Pedestrian - Walking/Hiking/Running']"
Jacks Knob,"Northeast Georgia, Brasstown Bald Visitor Center.",Georgia,Union,[],4.50 Miles / 7.24 Km,"['Camping', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Jacksonville-Baldwin Rails to Trails,"Western Duval County, Florida, north of I-10",Florida,Duval,"['Rail', 'Trail']",14.50 Miles / 23.34 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
James F. Hall Trail,"Newark, Delaware, In Newark south of the University alongside railroad tracks, Library Street west to Phillips Park.<br/>",Delaware,New Castle,"['Greenway', 'Rail', 'Trail', 'Urban', 'Trail']",1.70 Miles / 2.74 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Wildlife Observation']"
Jefferson Linear,,Louisiana,,[],8.20 Miles / 13.20 Km,[]
Jicarita Peak Trail,"In the Pecos Wilderness, accessed from either the Santa Barbara Campground, or the Alamitos (Serpent Lake) Trailhead.",New Mexico,Taos,"['Backcountry', 'Equestrian', 'Trail']",23.00 Miles / 37.01 Km,"['Camping', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Hunting', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
John Bartram's Garden Trails,,Pennsylvania,,[],1.00 Miles / 1.61 Km,[]
John Muir,"Along Hiwassee River near Reliance, In Cherokee National Forest, along Hiawasee R gorge, NE of Archville on SR 315.",Tennessee,Polk,['Backcountry'],20.70 Miles / 33.31 Km,"['Camping', 'Camping', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Snowshoeing', 'Swimming', 'Swimming - Diving/snorkeling', 'Wildlife Observation', 'Wildlife Observation']"
Johnson Tract Trail,Near the N end of Wappapello Lake outside Greenville.,Missouri,Wayne,"['Nature', 'Trail']",5.00 Miles / 8.05 Km,['Camping']
Jordan Park Nature,Rural,Wisconsin,,[],2.25 Miles / 3.62 Km,"['Pedestrian - Walking/Hiking/Running', 'Snow - Snowshoeing', 'Snow - Cross-country Skiing', 'Wildlife Observation', 'Swimming']"
Josh Park Memorial Trail,"Dam Site Park, Greers Ferry Lake,  At Greers Ferry Lake Dam near Heber Springs.",Arkansas,Cleburne,"['Fitness', 'Trail', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail']",1.90 Miles / 3.06 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Jubilee Lake,"Umatilla National Forest, Walla Walla Road, In Umatilla National Forest, E of Pendleton, goes around lake from Jubilee Lake Campground.",Oregon,Union,[],3.00 Miles / 4.83 Km,[]
Juniata River Water Trail,"Frankstown Branch from 40? 28<apos> 23<quote> N, 78? 16<apos> 02<quote> W; Little Juniata River from 40? 40<apos> 08<quote> N, 78? 14<apos> 26<quote> W and Juniata River to 40? 24<apos> 45<quote>N, 77? 00<apos> 55<quote> W.</quote></apos></quote></apos></quote></apos></quote></apos></quote></apos></quote></apos>",Pennsylvania,"Perry, Juniata, Mifflin, Huntingdon, Blair","['Water', 'Trail']",142.00 Miles / 228.53 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Fishing', 'Heritage and History', 'Wildlife Observation']"
Karina Miller Preserve Loop Trail,"In Little Mulberry Park, 3900 Hog Mountain Road, Dacula, Georgia",Georgia,Gwinnett County,"['Fitness', 'Trail', 'Nature', 'Trail']",2.20 Miles / 3.54 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Fishing', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Wildlife Observation']"
Kaupo,"In Haleakala NP, joins Paliku to (private) Kaupo Ranch.",Hawaii,,[],7.10 Miles / 11.43 Km,[]
Keel Spring Nature Trail,"Leatherwood Rd. south of Dover, TN",Tennessee,Stewart,"['Nature', 'Trail']",1.10 Miles / 1.77 Km,[]
Kelsey (Elbow Springs-Lake Harrington),"At SW edge of Smith River NRA, c. 20 mi. SW of Crescent City. <br/>",California,Siskiyou,['Backcountry'],10.75 Miles / 17.30 Km,[]
Kettle Crest,"At N side of Sherman Pass on SR 20, 17 E of Republic, connects to Pacific NW NST.",Washington,Ferry,['Backcountry'],31.00 Miles / 49.89 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Kingfisher,"Little Rock, At Pinnacle Mountain State Park, 10 mi. NW of Little Rock.",Arkansas,Pulaski,"['Fitness', 'Trail', 'Nature', 'Trail']",0.50 Miles / 0.80 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Kings Mountain Gateway Trail,"South of the town of Kings Mountain, NC provides connection with Crowder's Mountain State Park.",North Carolina,Cleveland,"['Greenway', 'Mountain', 'Bike', 'Trail', 'Rail', 'Trail']",5.00 Miles / 8.05 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Kings River,"Rural, In Sierra National Forest, begins at Garnet Dike campground.",California,Madera,[],3.00 Miles / 4.83 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Kitty Dill Memorial Parkway,"City of West Point, MS",Mississippi,Clay,"['Greenway', 'Rail', 'Trail', 'Urban', 'Trail']",3.75 Miles / 6.04 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding']"
Knapp Creek-Loon Creek,"In Challis National Forest, northwest of Stanley off State Route 21.",Idaho,Custer,['Backcountry'],19.50 Miles / 31.38 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing']"
Kohl Park Hiking Trail,City of Milwaukee,Wisconsin,Milwaukee,[],2.00 Miles / 3.22 Km,"['Dogs - Mushing', 'Pedestrian - Walking/Hiking/Running']"
Lacy Point Nature Trail,"Lacy Point Access Area, Waco Lake, McLennan Co. TX, in Waco Texas, take Interstate 35 to State Route 6 northwest 7 miles to Speiglerville Road, one mile to park entrance.",Texas,McLennan,"['Equestrian', 'Trail', 'Mountain', 'Bike', 'Trail']",18.00 Miles / 28.97 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Lake Arbuckle Hiking,At Lake Arbuckle AFB NE of Sebring. (recertified 1992),Florida,,[],16.00 Miles / 25.75 Km,[]
Lake Guntersville State Park Trail System,"Within Lake Guntersville State Park near Guntersville, in north-central Alabama",Alabama,Marshall,"['Backcountry', 'Greenway', 'Rail', 'Trail']",36.00 Miles / 57.94 Km,"['Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Swimming']"
Lake Michigan National Water Trail,Various access points along the entire trail from two to eight miles apart along all the south shore of Lake Michigan.,"Illinois, Indiana, Michigan",Multiple,"['Nature', 'Trail', 'Water', 'Trail']",75.00 Miles / 120.70 Km,"['Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Wildlife Observation']"
Lake Wobegon Trail,St. Joseph to the Stearns/Todd County Line and Albany to the Stearns/Morrison County line,Minnesota,Stearns,"['Fitness', 'Trail', 'Greenway', 'Nature', 'Trail', 'Rail', 'Trail', 'Snow', 'Trail']",54.00 Miles / 86.90 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Fishing', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Snow - Cross-country Skiing']"
Lakeshore - Utah,"Fishlake National Forest, In Fishlake National Forest, along W side of Fish Lake, near Kooshorem.",Utah,Sevier,['Backcountry'],14.00 Miles / 22.53 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Lassen Peak,"In Lassen National Park, connects park road to Lassen Peak.",California,Tehama,['Backcountry'],2.50 Miles / 4.02 Km,['Pedestrian - Walking/Hiking/Running']
Laurel Hill Cemetery Victorian,,Pennsylvania,,[],25.00 Miles / 40.23 Km,[]
Lauterman Lake NRT,"T 40 NR 16E Sec 28, 29, 30, 31, near Florence.",Wisconsin,Florence,"['Backcountry', 'Snow', 'Trail']",9.00 Miles / 14.48 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing']"
Lava Ridge,"New Meadows Ranger District, Payette National Forest, In Payette National Forest 35 mi. N of McCall, accessed at Big Dave Creek.",Idaho,Idaho,['Backcountry'],7.50 Miles / 12.07 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Boating, Motorized', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing']"
Lebanon Valley Rail-Trail,"Cornwall, West Cornwall, South Londonderry",Pennsylvania,Lebanon,[],12.00 Miles / 19.31 Km,[]
Lee Metcalf NWR Wildlife Viewing Trail,Lee Metcalf National Wildlife Refuge,Montana,Ravalli,['Greenway'],2.20 Miles / 3.54 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Lehigh Canal Heritage,"Rural, Weissport.",Pennsylvania,,[],6.00 Miles / 9.66 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Boating, Canoeing', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
Lena Lake Trail,"In the Olympic NF, take Hwy 101 14 mi. N from Hoodsport to FS Rd. 25, follow in 8 mi.",Washington,"Mason, Jefferson",['Backcountry'],4.50 Miles / 7.24 Km,"['Fishing', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Levi Wilcoxon Forest,"Rural, Ashley County.",Arkansas,,[],0.80 Miles / 1.29 Km,"['Bicycling (off pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Lewis Creek,"In Sierra NF, S from Fish Camp/Sugar Pine along SR 41.",California,Madera,[],3.70 Miles / 5.95 Km,[]
Lincoln Boyhood,Rural,Indiana,Spencer,[],1.00 Miles / 1.61 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Linville Falls Trail,At Linville Falls on Blue Ridge Parkway at milepost 316.4.,North Carolina,,"['Backcountry', 'Nature', 'Trail']",1.20 Miles / 1.93 Km,['Pedestrian - Walking/Hiking/Running']
Little Cherry Pond,Pondicherry Division of Silvio O. Conte National Fish and Wildlife Refuge,New Hampshire,Coos,"['Backcountry', 'Nature', 'Trail']",1.00 Miles / 1.61 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Little Mulberry Park Trails,"Little Mulberry Park, Gwinnett County, Georgia",Georgia,Gwinnett,"['Equestrian', 'Trail', 'Fitness', 'Trail', 'Nature', 'Trail', 'Urban', 'Trail']",13.00 Miles / 20.92 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Wildlife Observation']"
Little Pond,"Rural, At Paint Creek Lake between Chillicothe and Hillsboro on US 50. (recertified 1991)",Ohio,,[],1.50 Miles / 2.41 Km,[]
Little Tennessee River Greenway,Near Franklin follows Little Tennessee and Calllasaja Rivers.,Tennessee,Macon,['Greenway'],4.50 Miles / 7.24 Km,['Pedestrian - Walking/Hiking/Running']
Lodgepole Ski,"20 miles west of Anaconda, MT., Red Bridge Boat Launch,",Montana,"Deer Lodge, Granite","['Snow', 'Trail']",3.50 Miles / 5.63 Km,"['Snow - Cross-country Skiing', 'Snow - Snowshoeing']"
Long Creek,"Along W shore of Land Between the Lakes, just N of US 68.",Kentucky,Trigg,[],0.20 Miles / 0.32 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Long Path through Mine Kill State Park,"Mine Kill State Park in Gilboa/North Blenheim, NY to the New York Power Authority Blenheim-Gilboa Visitor Center.",New York,Schoharie,"['Backcountry', 'Nature', 'Trail', 'Snow', 'Trail']",5.00 Miles / 8.05 Km,"['Bicycling (off pavement)', 'Dogs - On leash', 'Fishing', 'Heritage and History', 'Hunting', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Longleaf Trace,Hattiesburg to Prentiss,Mississippi,"Forrest, Lamar, Jefferson, Davis","['Rail', 'Trail']",41.00 Miles / 65.98 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Wildlife Observation']"
Lost Cabin,"Black Elk Wilderness - Black Hills, In Black Hills National Forest, 5 mi. W of Mt. Rushmore, joins Palmer Creek and Willow Creek trailheads.",South Dakota,"Custer, Pennington",['Backcountry'],6.20 Miles / 9.98 Km,"['Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Shooting - Archery']"
Lost Coast,Access at King Range Nat. Conservation Area trailheads.,California,Humbolt,[],24.80 Miles / 39.91 Km,[]
Lost Lake Nature Trail,"N of Fresno, access from SR 145 at Friant Dam.",California,Fresno,[],1.25 Miles / 2.01 Km,[]
Louise Lake,"26 miles south of Whitehall, MT., In Deerlodge National Forest, exit I-90 at Cardwell, S on SR 359 to Forest Rd 107, up 107 14 mi.",Montana,Madison,['Backcountry'],3.50 Miles / 5.63 Km,[]
Lowell Canal Heritage,In downtown Lowell follows canal shorelines from NPS visitor center at the Mack Building.,Massachusetts,,"['Urban', 'Trail']",2.60 Miles / 4.18 Km,[]
Lower Macleay,"Forest Park, National Portland",Oregon,Multnomah,[],0.86 Miles / 1.38 Km,[]
Lumber River,"N &amp; E of Laurenburg, accessed at US 501, SR 1412, US 401, and SR 71. (recertified 1990)",North Carolina,,[],60.00 Miles / 96.56 Km,[]
Maah Daah Hey,Connects N and S units of Theodore Roosevelt NP through the Little Missouri Nat. Grasslands.  S end access at Medora on I-94; N end on US 85 S of Watford City.,North Dakota,"Billings, Golden Valley, McKenzie",['Backcountry'],96.00 Miles / 154.50 Km,[]
Mackinac Island Trail System,At Mackinac Island State Park E of Mackinac Bridge.,Michigan,,[],15.00 Miles / 24.14 Km,[]
Magnolia Trail,"St. Catherine Creek National Wildlife Refuge, Sibley MS",Mississippi,Adams,"['Nature', 'Trail']",4.50 Miles / 7.24 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Mahoning Shadow Trail,"Punxsutawney, Bell Twp., Young., Perry Twp., Jefferson Co., PA",Pennsylvania,"Jefferson, Indiana","['Fitness', 'Trail', 'Greenway', 'Nature', 'Trail']",15.00 Miles / 24.14 Km,"['Bicycling (on pavement)', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting', 'Camping', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Major Fenn,"East of Kooskia at Major Fenn Picnic Area on U.S. Highway 12, 33 miles.",Idaho,Idaho,[],0.60 Miles / 0.97 Km,[]
Marble Creek NRT,"Marble Creek, ID; Panhandle National Forest",Idaho,Shoshone,['Backcountry'],26.70 Miles / 42.97 Km,"['Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Motorized vehicles - Motorcycling', 'Pedestrian - Walking/Hiking/Running', 'Snow - Snowshoeing', 'Wildlife Observation']"
Marden E. Cobb Waterway,"Chautauqua County Park, SW New York.",New York,,"['Water', 'Trail']",53.29 Miles / 85.76 Km,[]
Marsh Boardwalk,"At Hunting Island State Park near Beaufort, E end of US 21",South Carolina,,"['Nature', 'Trail']",0.30 Miles / 0.48 Km,['Pedestrian - Walking/Hiking/Running']
Mason-Dixon Trail,"York County Pa, along the Susquehanna River from Wrightsville to Norman Wood Bridge, Follows west shore of Susquehanna River from Wrightsville to State Route 372 bridge.",Pennsylvania,York,['Backcountry'],30.00 Miles / 48.28 Km,"['Camping', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
MassCentral Rail Trail (Northampton Section),"Located in Northampton, Mass, extending from the northern terminus of the New Haven &amp; Northampton Canal Rail Trail on the north side of downtown Northampton and extending northwesterly through Northampton and to South Main Street in Williamsburg.",Massachusetts,Hampshire,"['Greenway', 'Rail', 'Trail', 'Urban', 'Trail']",5.30 Miles / 8.53 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing']"
May Creek,"17 miles west of Wisdom, MT; Near Elkhorn Hot Springs; Accessible from Pioneer Mountains Scenic By Way.",Montana,Beaverhead,['Backcountry'],7.00 Miles / 11.27 Km,"['Boating, Motorized', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Motorized vehicles - Four wheel drive', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing']"
McGowan National Recreation Trail,In Lassen NF 6 mi. E of Mineral on Forest Rds. 29N22 and 30N16.,California,Tehama,[],10.00 Miles / 16.09 Km,[]
McTrail,"Railtrail that connects Prickett’s Fort state park to the corner of Winfield St. and Morgantown Avenue in Fairmont, WV.",West Virginia,"Fairmont, Marion","['Nature', 'Trail', 'Rail', 'Trail']",2.50 Miles / 4.02 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Meadowlark Trail,"Boyer Chute National Wildlife Refuge, Ft. Calhoun NE",Nebraska,Washington,"['Fitness', 'Trail', 'Nature', 'Trail']",6.00 Miles / 9.66 Km,"['Bicycling (on pavement)', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Memory Lane,Off US 67 at Wappapello Lake 30 Miles N of Poplar Bluff.,Missouri,Wayne,"['Fitness', 'Trail', 'Nature', 'Trail']",1.00 Miles / 1.61 Km,"['Dogs - On leash', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running']"
Meta Lake,"In Mt. St. Helens Volcanic National Mon., just S of Spirit Lake on FS Rd. 99.",Washington,Skamania,"['Nature', 'Trail']",0.30 Miles / 0.48 Km,['Pedestrian - Walking/Hiking/Running']
Methuselah Trail,In Inyo NF off SR 168 15 mi. E of Big Pine.  Take Big Pine Mtn. Rd. 10 mi. to Shulman Grove.,California,Inyo,['Backcountry'],4.20 Miles / 6.76 Km,['Pedestrian - Walking/Hiking/Running']
Miccosukee Canopy Road Greenway,"Leon Couty, Florida, Alongside Miccosukee Road, east of Tallahassee to Interstate 10.",Florida,Leon,['Greenway'],20.00 Miles / 32.19 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Middle Fork Trail,Middle Fork Willamette River south of Hills Creek Reservoir. East of Oakridge.,Oregon,Lane,['Backcountry'],27.00 Miles / 43.45 Km,"['Bicycling (off pavement)', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running']"
Milwaukee Urban Water Trail,"Milwaukee, Menomonee, and Kinnickinnic Rivers,  Urban river trails in Milwaukee along Milwaukee, Menominee, and Kinnickinnic Rivers.<br/>",Wisconsin,"Milwaukee, Ozaukee","['Water', 'Trail']",25.00 Miles / 40.23 Km,"['Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking']"
Mineral Ridge,"Idaho Hwy 97, 2.5 miles south of Interstate 90, on Beauty Bay of Lake Coeur d'Alene",Idaho,Kootenai,['Backcountry'],3.30 Miles / 5.31 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Mingo Boardwalk Nature Trail,"Mingo National Wildlife Refuge, Puxico, MO, At Mingo NWR on Counyt Rd. Z, NE of Wappapello.",Missouri,Stoddard,[],1.00 Miles / 1.61 Km,['Pedestrian - Walking/Hiking/Running']
Mississippi National River and Recreation Area Water Trail,The Mississippi National River and Recreation Area offers 76 miles of river trail. 72 miles on Mississippi; 4 miles on Minnesota River. The trail begins above river mile 879 near the confluence of the Crow River  extends through Minneapolis and St. Paul t,Minnesota,"Anoka, Dakota, Hennepin, Ramsey, Washington","['Water', 'Trail', 'National', 'Water', 'Trails', 'System']",76.00 Miles / 122.31 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting']"
Mon River / Caperton / Deckers Creek Trails,"Greater Morgantown Area,  Rail-trail along east side of Monongahela River north of Fairmont from Prickett’s Fort downstream through Morgantown.<br/>",West Virginia,"Marion, Monongalia, Preston","['Greenway', 'Rail', 'Trail', 'Snow', 'Trail']",50.00 Miles / 80.47 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Boating, Motorized', 'Dogs - On leash', 'Fishing']"
